Sn No,TECHNOLOGY,QUESTION,SOLUTION,SEVERITY,PRIORITY,CREATED_USER,CREATED_DATE,CLOSED_USER,CLOSED_DATE,RESOLUTION_TIME,CITY,Latitude,Longitude
62,Azure Security IAM,Unable to assign a role using a service principal with Azure CLI,"There are two ways to potentially resolve this error. The first way is to assign the Directory Readers role to the service principal so that it can read data in the directory.

The second way to resolve this error is to create the role assignment by using the --assignee-object-id parameter instead of --assignee. By using --assignee-object-id, Azure CLI will skip the Azure AD lookup. You'll need to get the object ID of the user, group, or application that you want to assign the role to.",low,medium,Frank,16-07-2023,Iris,19-07-2023,26,Pasadena,39.11119843,-76.48913574
63,Azure Security IAM,"ClientCertificateCredential authentication issueClient assertion contains 
an invalid signature.",Ensure the specified certificate has been uploaded to the AAD application registration.,low,medium,Grace,25-09-2021,Katherine,26-09-2021,30,Florissant,38.77356339,-90.28000641
64,Azure Security IAM,"ManagedIdentityCredential authentication unavailable, no managed 
identity endpoint found","Ensure the managed identity has been properly configured on the App Service. 
Verify the App Service environment is properly configured and the managed identity endpoint is available. ",medium,low,David,16-01-2022,Gabriella,19-01-2022,19,New York,40.62457657,-73.94354248
65,Azure Security IAM,"when app is deployed and when running locally getting error 
CredentialUnavailableException:No Managed Identity endpoint found","Verify the pod is labeled correctly. This also occurs when a correctly labeled 
pod authenticates before the identity is ready. To prevent initialization races, configure NMI to set the Retry-After header in its responses",high,medium,Bob,16-01-2022,Olivia,18-01-2022,33,Newark,39.83205795,-75.75762177
66,Azure Security IAM,Deleted or rejected private end point still shows Aprroved in ADF,"You should delete the managed private end point in ADF once existing private
 endpoints are rejected/deleted from source/sink datasets.",high,high,Henry,17-09-2021,Harry,18-09-2021,5,Chicago,41.89448166,-87.77452087
67,Azure Security IAM,Connection error in public endpoint,"1. Having private endpoint enabled on the source and also the sink side when using the Managed VNet IR.
2. If you still want to use the public endpoint, you can switch to public IR only instead of using the Managed VNet IR for the source and the sink. Even if you switch back to public IR, the service may still use the Managed VNet IR if the Managed VNet IR is still there.",critical,high,Emily,17-09-2021,Madison,18-09-2021,4,East Lansing,42.9221611,-84.01567841
68,Azure Security IAM,Not able to use self-hosted IR to bridge two on-premises datastores,"Install drivers for both the source and destination datastores on the destination IR, and make sure that it can access the source datastore.

If the traffic can't pass through the network between two datastores (for example, they're configured in two virtual networks), you might not finish copying in one activity even with the IR installed. If you can't finish copying in a single activity, you can create two copy activities with two IRs, each in a VENT:

1.Copy one IR from datastore 1 to Azure Blob Storage
2. Copy another IR from Azure Blob Storage to datastore 2.
This solution could simulate the requirement to use the IR to create a bridge that connects two disconnected datastores.",low,medium,Henry,17-09-2021,James,20-09-2021,7,Knoxville,35.94585037,-84.09391022
69,Azure Security IAM,Unable to register the self-hosted IR,Use localhost IP address 127.0.0.1 to host the file and resolve the issue.,medium,low,Frank,17-09-2021,Daniel,19-09-2021,5,Pico Rivera,34.00259781,-118.0799789
70,Azure Security IAM,"I can sign in to  Azure portal, but I see the error, No subscriptions found","To fix this issue:

1. Verify that the correct Azure directory is selected by selecting your account at the top-right corner.
2. If the correct Azure directory is selected, but you still receive the error message, have your account added as an Owner.",low,high,David,17-09-2021,Finn,20-09-2021,11,Miami,25.92886925,-80.16287231
71,Azure Security IAM,How do I check my current consumption level?,Azure customers can view their current usage levels in Cost Management,medium,low,Charlie,17-09-2021,Madison,18-09-2021,3,Mount Prospect,42.03620529,-87.96143341
72,Azure Security IAM,Unable to remove a credit card from a saved billing payment method,"By design, you can't remove a credit card from the active subscription.

If an existing card has to be deleted, one of the following actions is required:

1. A new card must be added to the subscription so that the old payment instrument can be successfully deleted.
2. You can cancel the subscription to delete the subscription permanently and then remove the card.",medium,high,Emily,17-09-2021,James,18-09-2021,15,Granite City,38.69002152,-90.14477539
73,Azure Security IAM,VisualStudioCredential authentication issue: Failed To Read Credentials,"1. In Visual Studio select the Tools > Options menu to launch the Options dialog.
2. Navigate to the Azure Service Authentication options to sign in with your Azure Active Directory account.
3. If you already had logged in to your account, try logging out and logging in again as that will repopulate the cache and potentially mitigate the error you're getting.",high,high,David,19-10-2023,Olivia,21-10-2023,33,San Antonio,32.87078095,-97.32335663
74,Azure Security IAM,AzureCliCredential authentication issue:Azure CLI not installed,"1. Ensure the Azure CLI is properly installed. 
2. Validate the installation location has been added to the PATH environment variable.",medium,low,Emily,08-12-2022,Gabriella,09-12-2022,29,Walnut,33.80669785,-118.0159607
75,Azure Security IAM,"RequestFailedException raised from the client with a status code of 401 or 
403","1. Enable logging to determine which credential in the chain returned the authenticating token.
2. In the case a credential other than the expected is returning a token, bypass this by either signing out of the corresponding development tool, or excluding the credential with the ExcludeXXXCredential property in the DefaultAzureCredentialOptions
3. Ensure that the correct role is assigned to the account being used. For example, a service specific role rather than the subscription Owner role.",low,low,Charlie,08-12-2022,Lucas,10-12-2022,10,Highland,34.12934113,-117.1800232
