Sn No,TECHNOLOGY,QUESTION,SOLUTION,SEVERITY,PRIORITY,CREATED_USER,CREATED_DATE,CLOSED_USER,CLOSED_DATE,RESOLUTION_TIME,CITY,Latitude,Longitude
11,Azure Analysis Services,How can I prevent locking conflicts and E_FAIL errors when querying an OLAP cube in Analysis Services that is being updated frequently through an SSIS package with a processing task?,"If you want to avoid this problem I suggest you process a copy of the cube on another instance or server and then synchronise the processed cube to the server queried by your application.
This will prevent future locking problems and be invisible to the end user.
OR
https://stackoverflow.com/a/66989042",medium,low,Frank,16-01-2022,James,17-01-2022,34,Colorado Springs,38.82530975,-104.7645721
12,Azure Analysis Services,What is the best way to execute a SSAS project as automated process?,"I would go the SSIS path, as you can easily log the SSAS messages e.g. to the msdb..sysssislog table. This is crucial for debugging and production support.

I prefer to use one task that issues a Process Full command against the Database. This has less moving parts and will completely rollback on its own if there is an error.

SSIS also has major advantages as a platform e.g. control flow, configuration, deployment, source control.",critical,low,Grace,16-01-2022,Finn,18-01-2022,11,Tempe,33.40329361,-111.9140549
13,Azure Analysis Services,"Are there any solutions to address the problem of several performance rules 
not working with my SSAS instances?","To troubleshoot the issue, you can try the following steps:
1. Check the compatibility of the performance rule with your SSAS version.
2. Check the permissions of the user account used to run the PBI ASWL feature.
3. Check the configuration of your SSAS instance.
4. Check the network connectivity of your SSAS instance.",low,low,Frank,17-09-2021,Daniel,20-09-2021,35,Fort Lauderdale,26.0984993,-80.27095032
14,Azure Analysis Services,"I am facing authentication errors in Azure Analysis Services, what can I do to resolve them?","Here are some possible solutions:
1. Check if the Azure Analysis Services instance is properly configured to use the correct Azure Active Directory tenant and application.
2. Ensure that the Azure Active Directory application has the necessary permissions to access the Azure Analysis Services instance.
3. Check if the Azure Active Directory application has been properly registered in the Azure portal.
4. Verify that the user attempting to connect has been granted the necessary permissions to access the Azure Analysis Services instance.
5. Ensure that the connection string used to connect to Azure Analysis Services includes the correct Azure Active Directory credentials and authentication method.
6. If using a custom Active Directory domain, ensure that the domain is properly configured in Azure Active Directory.
7. Check if there are any firewall or network issues that are preventing the connection to Azure Analysis Services.
8. Ensure that the user attempting to connect has the necessary permissions to access any underlying data sources used by Azure Analysis Services.",high,low,Emily,17-09-2021,Iris,18-09-2021,29,Sacramento,38.50247574,-121.4231873
15,Azure Analysis Services,Not able to connect to Azure Analysis Service instance from SSMS/VS/PowerBI desktop,https://stackoverflow.com/a/40413916,medium,medium,Frank,17-09-2021,Nathan,20-09-2021,29,San Diego,32.7794342,-117.1718597
16,Azure Security,"invalid_grant or unauthorized_client, 50126:
Sign in fails for federated users with error code 50126 (sign in succeeds for cloud users). Error message is similar to:
Reason: Bad Request, Detailed Response: {""error"":""invalid_grant"",""error_description"":""AADSTS70002: Error validating credentials. AADSTS50126: Invalid username or password\r\nTrace ID: 09cc9b95-4354-46b7-91f1-efd92665ae00\r\n Correlation ID: 4209bedf-f195-4486-b486-95a15b70fbe4\r\nTimestamp: 2019-01-28 17:49:58Z"",""error_codes"":[70002,50126], ""timestamp"":""2019-01-28 17:49:58Z"",""trace_id"":""09cc9b95-4354-46b7-91f1-efd92665ae00"",""correlation_id"":""4209bedf-f195-4486-b486-95a15b70fbe4""}",The Global Administrator of the Azure AD tenant should enable Azure AD to use password hashes for ADFS backed users. Apply the AllowCloudPasswordValidationPolicy as shown in the article Use Enterprise Security Package in HDInsight.,low,low,Charlie,27-12-2021,Lucas,30-12-2021,30,Caguas,18.23714256,-66.37059784
17,Azure Security,What are the two types of keys available in encryption in Azure?,"Key Vault supports RSA and EC keys. Managed HSM supports RSA, EC, and symmetric keys.",medium,low,Charlie,27-12-2021,Harry,29-12-2021,35,Caguas,18.23714256,-66.37059784
18,Azure Security,"invalid_grant or unauthorized_client, 50034:
Sign in fails with error code 50034. Error message is similar to:
{""error"":""invalid_grant"",""error_description"":""AADSTS50034: The user account Microsoft.AzureAD.Telemetry.Diagnostics.PII does not exist in the 0c349e3f-1ac3-4610-8599-9db831cbaf62 directory. To sign into this application, the account must be added to the directory.\r\nTrace ID: bbb819b2-4c6f-4745-854d-0b72006d6800\r\nCorrelation ID: b009c737-ee52-43b2-83fd-706061a72b41\r\nTimestamp: 2019-04-29 15:52:16Z"", ""error_codes"":[50034],""timestamp"":""2019-04-29 15:52:16Z"",""trace_id"":""bbb819b2-4c6f-4745-854d-0b72006d6800"", ""correlation_id"":""b009c737-ee52-43b2-83fd-706061a72b41""}",Use the same user name that works in that portal.,critical,medium,Emily,10-09-2023,Emma,13-09-2023,30,Caguas,18.25640678,-66.37050629
19,Azure Security,What are different options for security in Azure?,"Microsoft Sentinel.
Microsoft Defender for Cloud.
Protect your Azure resources from distributed denial-of-service (DDoS) attacks.
Azure Bastion. Fully managed service that helps secure remote access to your virtual machines.
Web Application Firewall. ...
Azure Firewall. ...
Azure Firewall Manager.",low,high,Emily,17-07-2022,Madison,19-07-2022,31,Caguas,18.23566818,-66.37059784
20,Azure Security,"invalid_grant or unauthorized_client, 50053:
User account is locked out, error code 50053. Error message is similar to:
{""error"":""unauthorized_client"",""error_description"":""AADSTS50053: You've tried to sign in too many times with an incorrect user ID or password.\r\nTrace ID: 844ac5d8-8160-4dee-90ce-6d8c9443d400\r\nCorrelation ID: 23fe8867-0e8f-4e56-8764-0cdc7c61c325\r\nTimestamp: 2019-06-06 09:47:23Z"",""error_codes"":[50053],""timestamp"":""2019-06-06 09:47:23Z"",""trace_id"":""844ac5d8-8160-4dee-90ce-6d8c9443d400"",""correlation_id"":""23fe8867-0e8f-4e56-8764-0cdc7c61c325""}","Wait for 30 minutes or so, stop any applications that might be trying to authenticate.
OR
Change the password in the Azure portal (on your on-premises system) and then wait for 30 minutes for sync to catch up.",high,low,Charlie,19-09-2023,Madison,22-09-2023,20,San Jose,37.32554245,-121.7993469
21,Azure Security,Received error message - 'interaction_required'.,Use conditional access policy and exempt the HDInisght clusters from MFA as shown in Configure a HDInsight cluster with Enterprise Security Package by using Azure Active Directory Domain Services.,low,medium,Grace,11-03-2022,Finn,12-03-2022,6,Waipahu,21.39421082,-157.9980164
22,Azure Security,What are the security options for Azure storage accounts?,"Azure Storage protects your data by automatically encrypting it before persisting it to the cloud. You can rely on Microsoft-managed keys for the encryption of the data in your storage account, or you can manage encryption with your own keys.",medium,high,David,11-03-2022,James,12-03-2022,3,Aurora,39.63999939,-104.7163849
23,Azure Security,How can we grant premissions to authorize a request to access a Service Bus Resource?,"You can use Azure RBAC to grant permissions to a security principal, which may be a user, a group, or an application service principal. Azure AD authenticates the security principal and returns an OAuth 2.0 token. This token can be used to authorize a request to access a Service Bus resource (queue, topic, and so on).",low,low,Grace,20-10-2020,Olivia,21-10-2020,23,Aurora,39.63999939,-104.7163849
24,Azure Security,How do I secure my Azure virtual machine?,"Azure Bastion. Private and fully managed RDP and SSH access to your virtual machines.
Web Application Firewall. A cloud-native web application firewall (WAF) service that provides powerful protection for web apps.
Azure Firewall. ...
Azure Firewall Manager",medium,low,Frank,20-06-2022,Nathan,22-06-2022,25,Aurora,39.63999939,-104.7163849
25,Azure Security,Unable to setup an Authenticator registration campaign in the Azure portal,"Go to Azure Portal -> Users -> Click on Per-user MFA
Now, enable registration campaign in the Azure portal like below:
Go to Azure Portal -> Security -> Authentication methods -> Policies -> Click on Microsoft Authenticator
Click on Registration campaign, edit and save like below:
You can select All users; I added only one user for testing.
",medium,medium,Frank,20-06-2022,Olivia,23-06-2022,34,Caguas,18.25534058,-66.37050629
26,Azure Security,Missing access to cross-repo policies or project-wide branch policies in Azure DevOps,"Leave all security groups except ""Project Administrators""",medium,medium,Emily,18-04-2021,Iris,20-04-2021,31,Cumberland,39.65353012,-78.76384735
27,Azure Security,How to Prevent all the users from creating the subscription directly under the Azure Tenant level,"You can change the default management group for new subscriptions in your tenant: Management Group blade -> Settings.

Then you can enable that write permissions should be required in the management group where new subscriptions are created.

https://learn.microsoft.com/en-us/azure/governance/management-groups/how-to/protect-resource-hierarchy#setting---default-management-group",medium,low,Charlie,18-04-2021,Finn,20-04-2021,33,Caguas,18.2275734,-66.0435791
28,Azure Security,Do we need to do extra security (storing inside Key Vault) for our Azure Function App Settings?,"They are secure, but users with permissions to the recourse can potentially access them with a role such as e.g. Contributor. Using a Key Vault would allow you to define access controls more precisely.",high,medium,Charlie,18-04-2021,Daniel,21-04-2021,21,Caguas,18.21840668,-66.37054443
29,Azure Web Storage,"Error ""The value for one of the HTTP headers is not in the correct format"" when using the storage emulator","This scenario typically occurs if you install and use the latest version of the Storage Client 
Library without updating the storage emulator. You should either install the latest version of the storage emulator or use cloud storage instead of the emulator for development and testing.",low,medium,Grace,18-04-2021,James,20-04-2021,10,Caguas,18.28970146,-66.37055206
30,Azure Web Storage,"I am experiencing unexpected delays in message delivery on a
 queue","1. Verify that the application is successfully adding the messages to the queue. Check that the application is not retrying the AddMessage method several times before succeeding.

2. Verify there is no clock skew between the worker role that adds the message to the queue and the worker role that reads the message from the queue. A clock skew makes it appear as if there is a delay in processing.

3. Check if the worker role that reads the messages from the queue is failing. If a queue client calls the GetMessage method but fails to respond with an acknowledgment, the message will remain invisible on the queue until the invisibilityTimeout period expires. At this point, the message becomes available for processing again.

4. Check if the queue length is growing over time. This can occur if you don't have sufficient workers available to process all of the messages that other workers are placing in the queue. Also, check the metrics to see if delete requests are failing and the dequeue count on messages, which might indicate repeated failed attempts to delete the message.

5. Examine the Storage logs for any queue operations that have higher than expected E2ELatency and ServerLatency values over a longer period of time than usual.",low,low,Charlie,11-12-2022,Finn,12-12-2022,21,Caguas,18.28970146,-66.37055206
31,Azure Web Storage,Root not redirecting to the index document,"When you enable static website hosting on Azure Storage, you need to specify the name of the index document that will be served when a user requests the root URL of your website. For example, if you set the index document name to ""index.html"", then your website will display the content of that file when someone visits https://yourwebsite.zxx.web.core.windows.net/.

However, sometimes you may find that the root URL does not redirect to the index document, and instead shows a blank page or an error message. This could happen for several reasons:

Ensure the name and extension as set in the file name on the portal are the exact same of the file in the $web container, including case sensitivity. File names along with extensions are case sensitive. Even though this is served over HTTP, index.html != Index.html for Static Websites.
Ensure that the index document exists in the $web container and has a valid content type. You can check this by using Azure Portal, Azure CLI, or Azure Storage Explorer.
Ensure that there are no other files or folders in the $web container that have the same name as the index document. For example, if you have a folder named ""index.html"" in the $web container, it will conflict with the index document and prevent it from being served.",medium,low,Grace,11-12-2022,Finn,14-12-2022,25,Longmont,40.21243668,-105.244194
32,Azure Web Storage,"Unable to acquire token, tenant is filtered out","Sometimes you may see an error message that says a token can't be acquired because a tenant
 is filtered out. This means you're trying to access a resource that's in a tenant you filtered out. To include the tenant, go to the Account Panel. Make sure the checkbox for the tenant specified in the error is selected. For more information on filtering tenants in Storage Explorer, see Managing accounts.",low,low,Grace,17-06-2022,Gabriella,18-06-2022,26,Virginia Beach,36.80849838,-76.20897675
33,Azure Web Storage,Slow performance when unzipping files in SMB file shares,"Depending on the exact compression method and unzip operation used, decompression operations may perform more slowly on an Azure file share than on your local disk. This is often because unzipping tools perform a number of metadata operations in the process of performing 
the decompression of a compressed archive. For the best performance, we recommend copying the compressed archive from the Azure file share to your local disk, unzipping there, and then using a copy tool such as Robocopy (or AzCopy) to copy back to the Azure file share. Using a copy tool like Robocopy can compensate for the decreased performance of metadata operations in Azure Files relative to your local disk by using multiple threads to copy data in parallel.",low,high,Bob,17-06-2022,Iris,19-06-2022,20,Caguas,18.24039459,-66.37054443
34,Azure Web Storage,How to change the Lease state of Azure Blob to Available,"A lease can only be cleanly released by using the lease id that was returned during the original lease operation.
You can change the lease state to available manually by leasing and releasing the blob using Azure CLI, or any other SDK.",high,medium,Frank,17-06-2022,Madison,18-06-2022,18,Caguas,18.24039459,-66.37054443
35,Azure Web Storage,"I am trying to upload a binary file (a blob for an excel file, actually) to 
my storage account but the client fails to authenticate under the error message: 403 (Server failed to authenticate the request. Make sure the value of Authorization header is formed correctly including the signature.)","This message you'll get if your SAS Token expired. If this is the case just create a new 
version of the secret using a SAS token with a longer duration. ",critical,medium,Charlie,17-06-2022,Emma,18-06-2022,4,Caguas,18.22725487,-66.37063599
36,Azure Web Storage,"We created a new Storage Account on Azure. And, when we perform 
the Connectivity Check, it shows that Blob service (SAS) endpoint is not accessible with message ""Public access is not permitted on this storage account."" The status code is 409."," set AllowBlobPublicAccess to true on your storage accounts. You can do this in the Portal under 
Configuration for the storage account by setting ""Blob public access"" to Enabled.",high,medium,Bob,17-06-2022,James,19-06-2022,30,Caguas,18.27375031,-66.37059021
37,Azure Web Storage,"Unable to provision a network drive as Server Endpoint in Azure File Sync. Shows Server endpoint creation fails, with this error: ""MgmtServerJobFailed"" (Error code: -2147024894 or 0x80070002)","This error occurs if the server endpoint path specified is not valid. Verify the 
server endpoint path specified is a locally attached NTFS volume. Note, Azure File Sync does not support mapped drives as a server endpoint path.",medium,high,Charlie,17-06-2022,Daniel,18-06-2022,7,Medina,41.09885407,-81.98916626
38,Azure Web Storage,"copy file from local machine to Azure Blob not successful. Error INFO: Any 
empty folders will not be processed, because source and/or destination doesn't have full folder support","As indicated in the error INFO: Any empty folders will not be processed by azcopy, Just create a file inside the source directory and try the azcopy command again.",medium,low,Emily,17-06-2022,Harry,18-06-2022,27,Caguas,18.21155739,-66.37060547
39,Azure Web Storage,Unable to trigger azure function though service bus queue,"That's an indication that your Function is not activated. And if it's not activated while a message is found on the queue, the potential issue would be Function configuration.
You need to specify connection string and queue name. If there is no connectivity exception, that tells me the connection string is working, Just validate is the right namespace connection. Then, check if the queue the Function is configured with is the right queue. ",medium,high,David,24-11-2021,Finn,25-11-2021,8,Davis,38.53100205,-121.756752
40,Azure Web Storage,What are the possible ways available to Scale Out/In VMs based on number of outstanding requests of Azure storage queue?,"You can use Metric alerts (assuming that number of requests is the same as Queue Message Count or some other metric) to create such alerts that are attached to action group that has link to automation service like Azure Automation runbook or Azure Function. The logic of those services will be code that scales out/in.
",medium,low,Charlie,24-11-2021,James,27-11-2021,19,Houston,29.69557571,-95.61478424
41,Azure Web Storage,I am not able to create a folder under the blob container,"From the azure portal you can go inside your container —> click on Upload —> in 
the Advanced section go to Upload to Folder and provide a folder name —> browse the file to upload —> click on Upload button You should see a folder getting created.",medium,low,Henry,24-11-2021,James,27-11-2021,18,San Jose,37.26665497,-121.9148026
42,Azure Web Storage,Lifecycle policy moving from cool to hot not working,"The policy you have defined is moving the blob from ""Hot"" to ""Cool"" after 2 days of modification. If you want to move the blob from ""Cool"" to ""Hot"" after it gets modified, you need to change the action in the first rule to ""tierToHot"" instead of ""tierToCool"".

Also, you have defined the second rule to enable auto-tiering to ""Hot"" from ""Cool"" based on last access time. However, this rule will only take effect if the blob is currently in ""Cool"" and then accessed. It will not move the blob from ""Cool"" to ""Hot"" immediately after it gets modified.

You can try adding a new rule that moves the blob from ""Cool"" to ""Hot"" based on last modified time.",high,medium,Grace,24-11-2021,Lucas,26-11-2021,30,Caguas,18.23766708,-66.3705368
43,Azure Web Storage,Missing error details for some failures in Insights for storage account,"You need to create a diagnostic setting to collect resource logs for blobs. Once 
the diagnostic setting is created you can investigate the logs. If you are using Log Analytics this can be done directly from Logs (preview) under monitoring.",medium,medium,Henry,30-04-2021,Gabriella,03-05-2021,13,Yonkers,40.92575073,-73.87052155
44,Azure Web Storage,"Unable to create Storage account; error loading the Creation page of 
Storage account","1. Disable if there is adblock and clear all your cookies restart the browser and relogin into azure portal
2. If you are using chrome or firefox try opening azure portal from edge browser and create resource
3. Open InPrivate session from your browser and login into the portal",medium,medium,Emily,05-12-2020,James,06-12-2020,18,Caguas,18.2022934,-66.37060547
45,Azure Web Storage,"how to set access permissions for azure blob storage container at folder 
(prefix) level","1. If you use ADLS (HNS) I believe you can set an ACL on a folder . For existing storage account blob container, you would need to copy into an HNS enabled storage account (current situation)
2. You could produce a SAS for a blob container or for individual blobs(SAS token can be used to restrict access to either an entire blob container or an individual blob. This is because a folder in blob storage is virtual and not a real folder.).",medium,high,Bob,05-12-2020,Daniel,07-12-2020,31,Chicago,41.89483643,-87.76984406
46,Azure Web Storage,Error trying to delete container in storage account,"If you are getting the ""Failed to delete 1 out of 1 container(s) The request uri is 
invalid "" Please first try to hard refresh the Screen/Browser page. There may be some interface issue.",medium,low,Grace,04-06-2022,Harry,05-06-2022,27,Caguas,18.28677559,-66.37055969
47,Azure Web Storage,"Is there a way to enable Soft delete on Storage Account through custom 
policy","Yes, you can turn on soft deletion for storage accounts through a policy. You can do this through the portal/powershell/azure cli/template options.
You can ""[s]pecify a retention period between 1 and 365 days."" PowerShell (7 days)",medium,high,Grace,18-09-2022,Lucas,21-09-2022,7,Levittown,40.72494888,-73.52056122
48,Azure Web Storage,How to stream blobs to Azure Blob Storage with Node.js,"Navigate to your storage account in the Azure Portal and copy the account name 
and key (under Settings > Access keys) into the .env.example file. Save the file and then rename it from .env.example to .env.",low,low,Emily,14-09-2023,Gabriella,16-09-2023,20,Caguas,18.26325417,-66.37050629
49,Azure Functions,"When adding two timed function to the same function app, only one of 
them is triggered","Could probably be caused by a lot of issues like wrong configuration etc.
 In my case, I had the configuration just right, but found a ""feature"" in Azure Functions. If adding two timed functions with the same class name and the same schedule, Azure executes one of the two functions twice. Changing the class name in one of the functions fixes the issue.",medium,low,Alice,16-07-2023,Harry,18-07-2023,29,San Pablo,37.95482636,-122.332962
50,Azure Functions,"Azure Function not triggering when deployed, but works correctly in local 
debugging","there are a few things you can check and try to resolve the problem: 
Check the connection string: Verify that the connection string for the Event Hub trigger in the local.settings.json file and the connection string in the Azure Function App settings are identical (except for the ""Endpoint"" part). Make sure that the connection string in the Azure Function App settings is using the correct Event Hub namespace and Event Hub name. Check the function.json file: Ensure that your function.json file has the correct configuration for the Event Hub trigger binding. Verify the type, name, direction, eventHubName, and connection properties.",critical,high,Emily,25-09-2021,Emma,26-09-2021,4,Napa,38.30202221,-122.1991196
51,Azure Functions,"How do I access a virtual machine through point-to-site VPN from a 
Function?","You can secure communications between a web app and a virtual 
machine using Azure Point-To-Site VPN the solution, is to select App Service Plan in Hosting Plan. Running the Function on the App Service Plan (rather than on the Consumption Plan), opens up for Networking settings in the Function app settings view.",low,medium,Henry,16-01-2022,Olivia,19-01-2022,11,North Hills,34.23563004,-118.4847031
52,Azure Functions,How do I set a static IP in Functions?,"Deploying a function in an App Service Environment is the primary way to have static inbound and outbound IP addresses for your functions.

You can also use a virtual network NAT gateway to route outbound traffic through a public IP address that you control",high,low,David,16-01-2022,Gabriella,19-01-2022,27,Chicago,41.6971283,-87.67146301
53,Azure Functions,How do I restrict internet access to my function?,"You can restrict internet access in a couple of ways:

1. Private endpoints: Restrict inbound traffic to your function app by private link over your virtual network, effectively blocking inbound traffic from the public internet.
IP restrictions: Restrict inbound traffic to your function app by IP range.
Under IP restrictions, you are also able to configure Service Endpoints, which restrict your Function to only accept inbound traffic from a particular virtual network.
2. Removal of all HTTP triggers. For some applications, it's enough to simply avoid HTTP triggers and use any other event source to trigger your function.
3. Keep in mind that the Azure portal editor requires direct access to your running function. Any code changes through the Azure portal will require the device you're using to browse the portal to have its IP added to the approved list. But you can still use anything under the platform features tab with network restrictions in place.",medium,high,Frank,17-09-2021,Lucas,20-09-2021,27,Princeton,40.3516655,-74.64704132
54,Azure Functions,How do I restrict my function app to a virtual network?,"You are able to restrict inbound traffic for a function app to a virtual network using Service Endpoints. This configuration still allows the function app to make outbound calls to the internet.

To completely restrict a function such that all traffic flows through a virtual network, you can use a private endpoints with outbound virtual network integration or an App Service Environment.",medium,low,Charlie,17-09-2021,Gabriella,18-09-2021,33,Columbus,39.93561935,-83.13851166
55,Azure Functions,How can I access resources in a virtual network from a function app?,"You can access resources in a virtual network from a running function by
 using virtual network integration.",medium,medium,Emily,17-09-2021,Iris,20-09-2021,18,Philadelphia,40.03164673,-75.12759399
56,Azure Functions,How can I trigger a function from a resource in a virtual network?,"You are able to allow HTTP triggers to be called from a virtual network using Service Endpoints or Private Endpoint connections.

You can also trigger a function from all other resources in a virtual network by deploying your function app to a Premium plan, App Service plan, or App Service Environment.",low,high,David,17-09-2021,Katherine,20-09-2021,24,Houston,29.78499794,-95.37204742
57,Azure Functions,How can I deploy my function app in a virtual network?,"Deploying to an App Service Environment is the only way to create a 
function app that's wholly inside a virtual network. ",medium,low,Bob,17-09-2021,Olivia,20-09-2021,26,Chicago,41.92401886,-87.75383759
58,Azure Functions,"In the Azure portal, it says 'Azure Functions runtime is unreachable'","Besides the normal network restrictions that could prevent your 
function app from accessing the storage account. Here it mentions an issue where the App_Offline.htm was in the file system, thereby instructing the platform your app is unreachable. It's certainly plausible, so check the kudu system (or az rest) to see if that file exists, remove it, and retry the operation.",medium,medium,Frank,17-09-2021,Finn,19-09-2021,12,Corona,40.74636841,-73.85482025
